DATE,CLVMNACSCAB1GQUK
1975-01-01,179525.6
1975-04-01,176590.2
1975-07-01,175994.4
1975-10-01,177981.9
1976-01-01,180840.9
1976-04-01,180520.7
1976-07-01,182766.6
1976-10-01,186622.5
1977-01-01,186715.3
1977-04-01,185360.9
1977-07-01,186645.3
1977-10-01,189880.9
1978-01-01,191519.1
1978-04-01,193835.0
1978-07-01,196457.5
1978-10-01,198248.6
1979-01-01,197470.9
1979-04-01,206225.2
1979-07-01,201717.0
1979-10-01,203834.7
1980-01-01,201853.5
1980-04-01,197857.5
1980-07-01,197611.8
1980-10-01,195513.3
1981-01-01,195204.0
1981-04-01,195678.0
1981-07-01,197806.5
1981-10-01,198033.9
1982-01-01,198343.2
1982-04-01,200572.7
1982-07-01,201102.1
1982-10-01,202520.2
1983-01-01,206187.0
1983-04-01,207945.3
1983-07-01,210234.9
1983-10-01,212053.2
1984-01-01,213515.0
1984-04-01,211653.0
1984-07-01,213030.2
1984-10-01,217261.8
1985-01-01,219094.7
1985-04-01,223762.9
1985-07-01,223974.9
1985-10-01,224518.9
1986-01-01,227076.7
1986-04-01,228738.7
1986-07-01,229737.4
1986-10-01,233791.7
1987-01-01,235877.5
1987-04-01,239285.0
1987-07-01,245070.2
1987-10-01,247843.7
1988-01-01,252326.4
1988-04-01,253836.4
1988-07-01,257718.7
1988-10-01,259939.1
1989-01-01,261070.7
1989-04-01,262773.6
1989-07-01,263019.2
1989-10-01,263256.6
1990-01-01,265050.4
1990-04-01,266415.7
1990-07-01,263650.4
1990-10-01,262767.2
1991-01-01,262028.6
1991-04-01,261709.3
1991-07-01,261110.7
1991-10-01,261526.4
1992-01-01,261505.5
1992-04-01,261187.2
1992-07-01,262860.0
1992-10-01,264704.7
1993-01-01,266643.1
1993-04-01,267998.5
1993-07-01,270155.2
1993-10-01,271993.6
1994-01-01,275303.8
1994-04-01,278499.3
1994-07-01,281662.1
1994-10-01,283265.8
1995-01-01,284177.3
1995-04-01,285202.4
1995-07-01,288004.1
1995-10-01,288815.5
1996-01-01,291419.8
1996-04-01,292347.6
1996-07-01,294344.3
1996-10-01,297146.8
1997-01-01,302874.8
1997-04-01,305551.9
1997-07-01,307051.0
1997-10-01,310235.6
1998-01-01,312592.5
1998-04-01,315426.9
1998-07-01,317778.3
1998-10-01,320870.1
1999-01-01,322683.0
1999-04-01,322883.2
1999-07-01,328645.7
1999-10-01,333163.8
2000-01-01,335975.5
2000-04-01,338029.5
2000-07-01,338978.2
2000-10-01,339542.2
2001-01-01,344025.8
2001-04-01,346732.9
2001-07-01,349316.2
2001-10-01,350872.6
2002-01-01,352539.1
2002-04-01,354864.1
2002-07-01,357553.9
2002-10-01,360760.4
2003-01-01,363131.8
2003-04-01,366569.3
2003-07-01,370317.9
2003-10-01,373309.7
2004-01-01,375352.7
2004-04-01,376790.9
2004-07-01,377412.1
2004-10-01,378363.6
2005-01-01,381950.3
2005-04-01,386186.5
2005-07-01,390704.6
2005-10-01,396558.1
2006-01-01,397614.2
2006-04-01,398500.2
2006-07-01,398755.8
2006-10-01,400162.1
2007-01-01,404143.6
2007-04-01,407059.9
2007-07-01,410507.4
2007-10-01,413923.1
2008-01-01,415396.7
2008-04-01,412322.1
2008-07-01,405531.7
2008-10-01,396725.5
2009-01-01,390129.7
2009-04-01,389390.2
2009-07-01,389944.2
2009-10-01,391294.1
2010-01-01,393058.8
2010-04-01,396434.4
2010-07-01,398726.7
2010-10-01,399246.1
2011-01-01,402238.8
2011-04-01,402832.8
2011-07-01,403917.1
2011-10-01,404587.5
2012-01-01,407208.1
2012-04-01,406988.9
2012-07-01,411835.5
2012-10-01,410893.1
2013-01-01,413550.1
2013-04-01,415817.8
2013-07-01,419545.5
2013-10-01,421508.5
2014-01-01,425041.5
2014-04-01,428579.1
2014-07-01,431582.7
2014-10-01,434455.3
2015-01-01,436382.9
2015-04-01,438866.2
2015-07-01,440765.5
2015-10-01,444041.1
2016-01-01,445481.0
2016-04-01,446177.8
2016-07-01,448282.7
2016-10-01,451606.5
2017-01-01,453527.7
2017-04-01,454712.9
2017-07-01,457067.1
2017-10-01,458899.1
2018-01-01,459170.1
2018-04-01,461041.3
2018-07-01,464228.6
2018-10-01,465262.0
2019-01-01,467569.7
2019-04-01,466669.2
